,state,act_participation_rate_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_participation_rate_2017,sat_reading_writing_2017,sat_math_2017,sat_total_2017,sat_participation_rate_2018,sat_reading_writing_2018,sat_math_2018,sat_total_2018,act_participation_rate_2018,act_composite_2018
8,District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,100,482,468,950,92.0,497.0,480.0,977.0,,
22,Michigan,29.0,24.1,23.7,24.5,23.8,24.1,100,509,495,1005,100.0,511.0,499.0,1011.0,22.0,24.4
6,Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,100,530,512,1041,100.0,535.0,519.0,1053.0,26.0,25.6
7,Delaware,18.0,24.1,23.4,24.8,23.6,24.1,100,503,492,996,100.0,505.0,492.0,998.0,17.0,23.8
29,New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,96,532,520,1052,96.0,535.0,528.0,1063.0,16.0,25.1
19,Maine,8.0,24.2,24.0,24.8,23.7,24.3,95,513,499,1012,99.0,512.0,501.0,1013.0,7.0,24.0
12,Idaho,38.0,21.9,21.8,23.0,22.1,22.3,93,513,493,1005,100.0,508.0,493.0,1001.0,36.0,22.3
9,Florida,73.0,19.0,19.4,21.0,19.4,19.8,83,520,497,1017,56.0,550.0,549.0,1099.0,66.0,19.9
21,Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,76,555,551,1107,80.0,562.0,563.0,1125.0,25.0,25.5
39,Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,71,539,524,1062,97.0,513.0,505.0,1018.0,15.0,24.2
30,New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,70,530,526,1056,82.0,547.0,547.0,1094.0,31.0,23.7
20,Maryland,28.0,23.3,23.1,24.2,2.3,23.6,69,536,52,1060,76.0,545.0,535.0,1080.0,31.0,22.5
32,New York,31.0,23.8,24.0,24.6,23.9,24.2,67,528,523,1052,79.0,534.0,534.0,1068.0,27.0,24.5
46,Virginia,29.0,23.5,23.3,24.6,23.5,23.8,65,561,541,1102,68.0,567.0,550.0,1117.0,24.0,23.9
38,Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,65,540,531,1071,70.0,547.0,539.0,1086.0,20.0,23.5
47,Washington,29.0,20.9,21.9,22.1,22.0,21.9,64,541,534,1075,69.0,543.0,538.0,1081.0,24.0,22.2
14,Indiana,35.0,22.0,22.4,23.2,22.3,22.6,63,542,532,1074,63.0,542.0,532.0,1074.0,32.0,22.5
43,Texas,45.0,19.5,20.7,21.1,20.9,20.7,62,513,507,1020,66.0,520.0,512.0,1032.0,41.0,20.6
10,Georgia,55.0,21.0,20.9,22.0,21.3,21.4,61,535,515,1050,70.0,542.0,522.0,1064.0,53.0,21.4
45,Vermont,29.0,23.3,23.1,24.4,23.2,23.6,60,562,551,1114,64.0,565.0,554.0,1120.0,24.0,24.1
11,Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,55,544,541,1085,56.0,480.0,530.0,1010.0,89.0,18.9
4,California,31.0,22.5,22.7,23.1,22.2,22.8,53,531,524,1055,60.0,540.0,536.0,1076.0,27.0,22.7
40,South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,50,543,521,1064,55.0,547.0,523.0,1070.0,100.0,18.3
33,North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,49,546,535,1081,52.0,554.0,543.0,1098.0,100.0,19.1
37,Oregon,40.0,21.2,21.5,22.4,21.7,21.8,43,560,548,1108,48.0,564.0,553.0,1117.0,42.0,21.3
1,Alaska,65.0,18.7,19.8,20.4,19.9,19.8,38,547,533,1080,43.0,562.0,544.0,1106.0,33.0,20.8
2,Arizona,62.0,18.6,19.8,20.1,19.8,19.7,30,563,553,1116,29.0,577.0,572.0,1149.0,66.0,19.2
28,Nevada,100.0,16.3,18.0,18.1,18.2,17.8,26,563,553,1116,23.0,574.0,566.0,1140.0,100.0,17.7
48,West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,14,558,528,1086,28.0,513.0,486.0,999.0,65.0,20.3
35,Ohio,75.0,21.2,21.6,22.5,22.0,22.0,12,578,570,1149,18.0,552.0,547.0,1099.0,100.0,20.3
5,Colorado,100.0,20.1,20.3,21.2,20.9,20.8,11,606,595,1201,100.0,519.0,506.0,1025.0,30.0,23.9
31,New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,11,577,561,1138,16.0,552.0,540.0,1093.0,66.0,19.4
26,Montana,100.0,19.0,20.2,21.0,20.5,20.3,10,605,591,1196,10.0,606.0,592.0,1198.0,100.0,20.0
